,Family,Pop,Tree,State,Region,Date,lat,lon,Elevation,BudBreak2020_Plasticity
138,GRE_07,GRE,7,MA,C,9182017,42.63034,-73.18195,888,0.175648182
139,HR_01,HR,1,TN,E,9002016,35.5714,-83.17954,1615,0.18499025
140,HR_02,HR,2,TN,E,9002016,35.5716,-83.17953,1624,0.177799933
141,HR_03,HR,3,TN,E,9002016,35.56898,-83.17448,1627,0.185111765
142,HR_05,HR,5,TN,E,9002016,35.57113,-83.1706,1607,0.191936493
143,HR_06,HR,6,TN,E,9002016,35.57026,-83.16939,1605,0.178481488
144,HR_07,HR,7,TN,E,9002016,35.56706,-83.16762,1595,0.186490616
145,HR_10,HR,10,TN,E,9002016,35.61916,-83.20716,1036,0.216382822
146,HUN_01,HUN,1,NY,C,9072017,42.17801,-74.22929,1221,0.250044981
147,HUN_02,HUN,2,NY,C,9072017,42.17772,-74.2286,1198,0.22054137
148,HUN_03,HUN,3,NY,C,9072017,42.17778,-74.23087,1219,0.230936393
149,HUN_04,HUN,4,NY,C,9072017,42.17897,-74.2295,1203,0.216728064
150,HUN_05,HUN,5,NY,C,9072017,42.17995,-74.22938,1189,0.218921616
151,HUN_06,HUN,6,NY,C,9072017,42.19198,-74.23504,1029,0.191197821
152,HUN_07,HUN,7,NY,C,9072017,42.19412,-74.23513,991,0.201379835
153,IND_01,IND,1,NY,C,9062017,42.16541,-74.20158,646,0.233581586
154,IND_02,IND,2,NY,C,9062017,42.16542,-74.20212,652,0.217991593
155,IND_03,IND,3,NY,C,9062017,42.16714,-74.2009,633,0.198210758
156,IND_04,IND,4,NY,C,9062017,42.16395,-74.20231,641,0.214393775
157,IND_05,IND,5,NY,C,9062017,42.16349,-74.20258,636,0.241342955
158,IND_06,IND,6,NY,C,9062017,42.16228,-74.20313,637,0.212375555
159,JAY_01,JAY,1,VT,C,10062017,44.92981,-72.52965,900,0.198338776
160,JAY_02,JAY,2,VT,C,10102017,44.9235,-72.51746,897,0.226726674
161,JAY_03,JAY,3,VT,C,10102017,44.92305,-72.51562,861,0.224784439
162,KAN_02,KAN,2,NH,C,10222017,44.02552,-71.495,862,0.191773888
163,KAN_03,KAN,3,NH,C,10222017,44.02137,-71.47896,785,0.185848978
164,KAN_04,KAN,4,NH,C,10222017,44.02144,-71.47961,787,0.213470118
165,KAN_05,KAN,5,NH,C,10222017,44.02235,-71.47746,777,0.197817898
166,KAN_06,KAN,6,NH,C,10222017,44.02168,-71.49196,841,0.200468235
167,KIL_01,KIL,1,VT,C,10212017,43.60633,-72.81543,1171,0.215775778
168,KIL_02,KIL,2,VT,C,10212017,43.60703,-72.81634,1170,0.21272821
169,KIL_03,KIL,3,VT,C,10212017,43.60837,-72.8176,1145,0.20928835
170,KIL_04,KIL,4,VT,C,10212017,43.60933,-72.81762,1115,0.200470827
171,KIL_05,KIL,5,VT,C,10212017,43.61079,-72.81821,1072,0.23043401
172,KIL_06,KIL,6,VT,C,10212017,43.61229,-72.8187,1047,0.223934792
173,KOS_01,KOS,1,WV,E,9292017,38.69131,-79.53503,1356,0.186060444
174,KOS_02,KOS,2,WV,E,9292017,38.6894,-79.54405,1419,0.217753994
175,KOS_03,KOS,3,WV,E,9292017,38.69502,-79.54109,1428,0.215033733
176,KOS_04,KOS,4,WV,E,9292017,38.69886,-79.5338,1479,0.195902715
177,KOS_05,KOS,5,WV,E,9292017,38.69966,-79.5335,1488,0.185212162
178,KOS_07,KOS,7,WV,E,9292017,38.7023,-79.5302,1485,0.182770024
179,LEU_01,LEU,1,ME,C,11192017,45.46921,-70.37423,668,0.224123451
180,LEU_02,LEU,2,ME,C,11192017,45.47563,-70.37312,629,0.210952751
181,LEU_03,LEU,3,ME,C,11192017,45.48267,-70.37241,741,0.208342188
182,LEU_04,LEU,4,ME,C,11192017,45.48342,-70.3726,752,0.235649885
183,LEU_05,LEU,5,ME,C,11192017,45.47165,-70.3756,588,0.20319942
184,LOL_01,LOL,1,NH,C,11042017,44.138,-71.71053,865,0.239051906
185,LOL_02,LOL,2,NH,C,11042017,44.14044,-71.72354,957,0.22590252
186,LOL_03,LOL,3,NH,C,11042017,44.14035,-71.72276,950,0.223197932
187,LOL_04,LOL,4,NH,C,11052017,44.14965,-71.7104,1154,0.204035719
188,LOL_05,LOL,5,NH,C,11052017,44.14922,-71.71134,1137,0.220440126
189,MAC_01,MAC,1,NY,C,10132017,44.05343,-73.78043,1317,0.235292848
190,MAC_02,MAC,2,NY,C,10132017,44.05138,-73.78415,1172,0.208253955
191,MAC_03,MAC,3,NY,C,10132017,44.05165,-73.78802,1036,0.196442541
192,MAC_04,MAC,4,NY,C,10132017,44.05131,-73.78914,1014,0.229112268
193,MAC_05,MAC,5,NY,C,10132017,44.05025,-73.78994,969,0.216600018
194,MMF_02,MMF,2,VT,C,9022017,44.52266,-72.80222,998,NA
195,MMF_10,MMF,10,VT,C,9042017,44.53615,-72.81747,1224,NA
196,MMF_13,MMF,13,VT,C,9112017,44.51382,-72.79353,737,0.210416473
197,MMF_14,MMF,14,VT,C,9112017,44.51656,-72.78146,565,NA
198,MMF_20,MMF,20,VT,C,9272017,44.51768,-72.78983,710,NA
199,MMF_21,MMF,21,VT,C,9272017,44.51781,-72.7906,724,NA
200,MMF_24,MMF,24,VT,C,9272017,44.51411,-72.79349,737,0.209053582
201,MPG_01,MPG,1,VT,C,9302017,44.72913,-72.03024,826,0.23328348
202,MPG_02,MPG,2,VT,C,9302017,44.7312,-72.03259,820,0.213865352
203,MPG_03,MPG,3,VT,C,9302017,44.73103,-72.03169,830,0.23130884
204,MPG_04,MPG,4,VT,C,9302017,44.72968,-72.02951,820,0.191392295
205,MPG_05,MPG,5,VT,C,9302017,44.72948,-72.02926,824,0.219524389
206,MPG_06,MPG,6,VT,C,9302017,44.72881,-72.0307,822,0.194037635
207,MRC_02,MRC,2,VA,E,10122016,36.672274,-81.506,1600,0.198680552
208,MRC_07,MRC,7,VA,E,10132016,36.6625,-81.516944,1569,0.200277977
209,MRC_08,MRC,8,VA,E,10142016,36.6625,-81.516111,1554,0.214761576
210,MRC_16,MRC,16,VA,E,10152016,36.65629,-81.54009,1616,0.197647241
211,MRC_18,MRC,18,VA,E,9002016,36.65793,-81.53847,1645,0.207057894
212,MSK_01,MSK,1,NH,C,10232017,44.43429,-71.43275,1197,0.201944839
213,MSK_02,MSK,2,NH,C,10232017,44.43365,-71.41321,1226,0.190241828
214,MSK_03,MSK,3,NH,C,10232017,44.43383,-71.42283,1158,0.217625184
215,MSK_04,MSK,4,NH,C,11252017,44.4242,-71.44677,850,0.206613236
216,MT_01,MT,1,NC,E,9002016,35.7568,-82.2524,1711,0.217222362
217,MT_04,MT,4,NC,E,9002016,35.75649,-82.25134,1678,0.179497291
218,MT_05,MT,5,NC,E,9002016,35.75581,-82.25083,1649,0.219920167
219,MT_07,MT,7,NC,E,9002016,35.75458,-82.24234,1470,0.199361815
220,MT_08,MT,8,NC,E,9002016,35.7524,-82.24024,1420,0.189207944
221,MT_09,MT,9,NC,E,9002016,35.75366,-82.24549,1533,0.19964735
222,MT_10,MT,10,NC,E,9002016,35.75354,-82.245,1525,0.182417346
223,MT_12,MT,12,NC,E,9002049,35.757069,-82.252205,1701,0.19118359
224,NBTIC_543,NBTIC,543,NB,C,9042015,46.22,-67.14,NA,0.232851673
225,NBTIC_552,NBTIC,552,NB,C,9042015,46.18,-67.15,NA,0.229987379
226,NBTIC_565,NBTIC,565,NB,C,9042015,46.66,-67.6,NA,0.23910659
227,NBTIC_623,NBTIC,623,NB,C,9042015,45.48,-66.65,585,0.23131964
228,NBTIC_624,NBTIC,624,NB,C,9042015,45.42,-66.7,682,0.234074055
229,NBTIC_627,NBTIC,627,NB,C,9042015,45.26,-66.49,464,0.224497492
230,NOR_01,NOR,1,NY,C,9052017,42.21991,-74.04099,919,0.199288753
231,NOR_02,NOR,2,NY,C,9052017,42.22041,-74.04166,923,0.2099545
232,NOR_03,NOR,3,NY,C,9052017,42.22059,-74.04261,935,0.218209098
233,NOR_04,NOR,4,NY,C,9052017,42.21969,-74.04345,937,0.198986713
234,NOR_05,NOR,5,NY,C,9052017,42.21886,-74.04497,961,0.205613354
235,NOR_06,NOR,6,NY,C,9052017,42.21925,-74.04668,962,0.231302078
236,OCT_01,OCT,1,MA,C,9192017,42.36216,-73.15527,582,0.220485034
237,OCT_02,OCT,2,MA,C,9192017,42.36126,-73.15881,576,0.225692945
238,OCT_03,OCT,3,MA,C,9192017,42.35426,-73.17902,571,0.223157737
239,OCT_04,OCT,4,MA,C,9192017,42.34901,-73.19077,549,0.215949376
240,OCT_06,OCT,6,MA,C,9192017,42.361,-73.15971,586,0.218848156
241,OCT_08,OCT,8,MA,C,9192017,42.36194,-73.15504,592,0.212818657
242,OKE_01,OKE,1,VT,C,10172017,43.41356,-72.74883,812,0.185307811
243,OKE_02,OKE,2,VT,C,10172017,43.41016,-72.75069,910,0.201732924
244,OKE_03,OKE,3,VT,C,10172017,43.409,-72.74791,935,0.208212538
245,OKE_04,OKE,4,VT,C,10172017,43.40522,-72.75047,1020,0.220530612
246,OKE_05,OKE,5,VT,C,10172017,43.40388,-72.75101,1020,0.226397799
247,OKE_06,OKE,6,VT,C,10172017,43.40847,-72.74814,953,0.215670633
248,OWL_01,OWL,1,VT,C,10012017,44.29606,-72.2939,580,0.213202319
249,OWL_02,OWL,2,VT,C,10012017,44.2958,-72.29314,581,0.22320741
250,OWL_03,OWL,3,VT,C,10012017,44.29611,-72.29464,584,0.207718161
