"","Family","Pop","Tree","State","Region","Date","lat","lon","Elevation","DBH","bio1_13","bio2_13","bio3_13","bio4_13","bio5_13","bio6_13","bio7_13","bio8_13","bio9_13","bio10_13","bio11_13","bio12_13","bio13_13","bio14_13","bio15_13","bio16_13","bio17_13","bio18_13","bio19_13","BudSet2019_Plasticity","BudSet2020_Plasticity","BudBreak2020_Plasticity","growth2019_Plasticity","growth2020_Plasticity"
"149","HUN_04","HUN",4,"NY","C",9072017,42.17897,-74.2295,1203,37,32,96,27,8912,202,-146,348,79,-77,142,-87,1481,142,102,9,397,326,382,331,21.1576734932373,29.6043173123861,30.4579129130925,1.96596691243877,3.56128849631237
"150","HUN_05","HUN",5,"NY","C",9072017,42.17995,-74.22938,1189,40.7,32,96,27,8912,202,-146,348,79,-77,142,-87,1481,142,102,9,397,326,382,331,22.6966395094841,33.8583336069175,30.8231657788763,0.692640267856548,4.25156196443112
"151","HUN_06","HUN",6,"NY","C",9072017,42.19198,-74.23504,1029,66.7,45,102,28,8985,220,-136,356,92,-65,156,-75,1342,129,90,10,364,292,350,295,26.7675767484313,26.8334833103545,26.8506125475258,2.76012576818973,4.28379895510936
"152","HUN_07","HUN",7,"NY","C",9072017,42.19412,-74.23513,991,44.4,45,102,28,8985,220,-136,356,92,-65,156,-75,1342,129,90,10,364,292,350,295,28.625667005284,30.2150217312356,28.6265527888379,2.30935311123078,0.641236889807942
"153","IND_01","IND",1,"NY","C",9062017,42.16541,-74.20158,646,25,52,104,28,9036,229,-130,359,100,-58,164,-69,1276,123,86,10,348,277,335,280,18.0661192641534,30.747289094017,33.1831290096859,0.915505389645196,1.01327686079994
"154","IND_02","IND",2,"NY","C",9062017,42.16542,-74.20212,652,23.2,52,104,28,9036,229,-130,359,100,-58,164,-69,1276,123,86,10,348,277,335,280,22.46361354831,30.8379371672372,30.8181480508095,4.32062386698468,5.27625569769606
"155","IND_03","IND",3,"NY","C",9062017,42.16714,-74.2009,633,25.1,60,107,29,9076,240,-125,365,107,-51,172,-62,1200,116,79,10,330,257,319,260,25.7845087044026,23.3940672899205,28.2648018101136,1.95411760502754,0.598491104034487
"156","IND_04","IND",4,"NY","C",9062017,42.16395,-74.20231,641,29.1,52,104,28,9036,229,-130,359,100,-58,164,-69,1276,123,86,10,348,277,335,280,16.4154882972173,31.8585562742515,30.2191664106115,3.01495567943679,2.97918092977486
"157","IND_05","IND",5,"NY","C",9062017,42.16349,-74.20258,636,21.3,52,104,28,9036,229,-130,359,100,-58,164,-69,1276,123,86,10,348,277,335,280,30.1780555459913,29.7232116497364,33.9420596703406,1.03582504337567,1.87475935751928
"158","IND_06","IND",6,"NY","C",9062017,42.16228,-74.20313,637,29.9,52,104,28,9036,229,-130,359,100,-58,164,-69,1276,123,86,10,348,277,335,280,19.2833192482762,31.2338622197175,30.1824568642494,3.18973812161832,5.3138804000523
