"plant_ID","Family","Population","Region","Latitude","Longitude","Elevation","Bed","mBed","Garden","pPC1","pPC2","gPC1","gPC2","pEXT","pDD_0","gEXT","gDD_0","Value","Trait"
"ALB_03_NC_B","ALB_03","ALB","Core",44.30359,70.84096,523,"B","North_Carolina_B","North_Carolina",1.31594437854398,-1.51559329552629,-9.85361058869086,-5.01016433622286,34.3,960,37.75,53.5,684.95,"BudBreak"
"ALB_03_MD_B","ALB_03","ALB","Core",44.30359,70.84096,523,"B","Maryland_B","Maryland",1.31594437854398,-1.51559329552629,-4.79104440324931,-3.53774746780395,34.3,960,36.4,282.5,642.5,"BudBreak"
"ALB_03_NC_C","ALB_03","ALB","Core",44.30359,70.84096,523,"C","North_Carolina_C","North_Carolina",1.31594437854398,-1.51559329552629,-9.85361058869086,-5.01016433622286,34.3,960,37.75,53.5,684.95,"BudBreak"
"ALB_03_MD_E","ALB_03","ALB","Core",44.30359,70.84096,523,"E","Maryland_E","Maryland",1.31594437854398,-1.51559329552629,-4.79104440324931,-3.53774746780395,34.3,960,36.4,282.5,662.4,"BudBreak"
"ALB_03_NC_D","ALB_03","ALB","Core",44.30359,70.84096,523,"D","North_Carolina_D","North_Carolina",1.31594437854398,-1.51559329552629,-9.85361058869086,-5.01016433622286,34.3,960,37.75,53.5,684.95,"BudBreak"
"ALB_03_VT_E","ALB_03","ALB","Core",44.30359,70.84096,523,"E","Vermont_E","Vermont",1.31594437854398,-1.51559329552629,-3.44541897005897,-5.80837560984597,34.3,960,39.25,531.5,554.55,"BudBreak"
"ALB_03_VT_B","ALB_03","ALB","Core",44.30359,70.84096,523,"B","Vermont_B","Vermont",1.31594437854398,-1.51559329552629,-3.44541897005897,-5.80837560984597,34.3,960,39.25,531.5,591.2,"BudBreak"
"ALB_03_MD_A","ALB_03","ALB","Core",44.30359,70.84096,523,"A","Maryland_A","Maryland",1.31594437854398,-1.51559329552629,-4.79104440324931,-3.53774746780395,34.3,960,36.4,282.5,657.5,"BudBreak"
"ALB_03_NC_A","ALB_03","ALB","Core",44.30359,70.84096,523,"A","North_Carolina_A","North_Carolina",1.31594437854398,-1.51559329552629,-9.85361058869086,-5.01016433622286,34.3,960,37.75,53.5,626.35,"BudBreak"
"ALB_03_VT_C","ALB_03","ALB","Core",44.30359,70.84096,523,"C","Vermont_C","Vermont",1.31594437854398,-1.51559329552629,-3.44541897005897,-5.80837560984597,34.3,960,39.25,531.5,568.5,"BudBreak"
"ALB_03_NC_E","ALB_03","ALB","Core",44.30359,70.84096,523,"E","North_Carolina_E","North_Carolina",1.31594437854398,-1.51559329552629,-9.85361058869086,-5.01016433622286,34.3,960,37.75,53.5,750.9,"BudBreak"
"ALB_03_MD_D","ALB_03","ALB","Core",44.30359,70.84096,523,"D","Maryland_D","Maryland",1.31594437854398,-1.51559329552629,-4.79104440324931,-3.53774746780395,34.3,960,36.4,282.5,642.5,"BudBreak"
"ALB_05_VT_D","ALB_05","ALB","Core",44.30182,70.83729,573,"D","Vermont_D","Vermont",1.41420272126659,-1.30388405946336,-3.44541897005897,-5.80837560984597,34.1,968,39.25,531.5,568.5,"BudBreak"
