"plant_ID","Family","Population","Location","Region","Latitude","Longitude","Elevation","Garden","Bed","BedRow","BedCol","Rack","RackRow","RackCol","BudSet","mBed","pPC1","pPC2","gPC1","gPC2","pEXT","pDD_0","gEXT","gDD_0"
"ALB_03_MD_C","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"Maryland","C",6,14,1,6,14,201,"Maryland_C",1.31594437854398,-1.51559329552629,-4.79104440324931,-3.53774746780395,34.3,960,36.4,282.5
"ALB_03_MD_D","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"Maryland","D",5,52,4,5,10,202,"Maryland_D",1.31594437854398,-1.51559329552629,-4.79104440324931,-3.53774746780395,34.3,960,36.4,282.5
"ALB_03_MD_E","ALB_03","ALB","ME","Core",44.30359,70.84096,523,"Maryland","E",3,57,5,3,1,203,"Maryland_E",1.31594437854398,-1.51559329552629,-4.79104440324931,-3.53774746780395,34.3,960,36.4,282.5
"ALB_05_VT_E","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"Vermont","E",2,10,1,2,10,222,"Vermont_E",1.41420272126659,-1.30388405946336,-3.44541897005897,-5.80837560984597,34.1,968,39.25,531.5
"ALB_05_MD_B","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"Maryland","B",5,40,3,5,12,209,"Maryland_B",1.41420272126659,-1.30388405946336,-4.79104440324931,-3.53774746780395,34.1,968,36.4,282.5
"ALB_05_MD_C","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"Maryland","C",6,61,5,6,5,245,"Maryland_C",1.41420272126659,-1.30388405946336,-4.79104440324931,-3.53774746780395,34.1,968,36.4,282.5
"ALB_05_MD_D","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"Maryland","D",3,14,1,3,14,202,"Maryland_D",1.41420272126659,-1.30388405946336,-4.79104440324931,-3.53774746780395,34.1,968,36.4,282.5
"ALB_05_MD_E","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"Maryland","E",6,31,3,6,3,203,"Maryland_E",1.41420272126659,-1.30388405946336,-4.79104440324931,-3.53774746780395,34.1,968,36.4,282.5
"ALB_05_NC_E","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"North_Carolina","E",6,45,4,6,3,198,"North_Carolina_E",1.41420272126659,-1.30388405946336,-9.85361058869086,-5.01016433622286,34.1,968,37.75,53.5
"ALB_05_NC_A","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"North_Carolina","A",5,40,3,5,12,195,"North_Carolina_A",1.41420272126659,-1.30388405946336,-9.85361058869086,-5.01016433622286,34.1,968,37.75,53.5
