"","plant_ID","Family","Population","Location","Region","Latitude","Longitude","Elevation","mBed","Garden","Bed","BedRow","BedCol","Rack","RackRow","RackCol","initial_ht","Height_Fall2019","Growth"
"126","ALB_05_VT_D","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"VT_D","Vermont","D",5,40,3,5,12,10.5,18,7.5
"127","ALB_05_VT_E","ALB_05","ALB","ME","Core",44.30182,70.83729,573,"VT_E","Vermont","E",2,10,1,2,10,23,32,9
"128","ALB_06_MD_A","ALB_06","ALB","ME","Core",44.30061,70.83641,589,"MD_A","Maryland","A",4,27,2,4,13,27.5,33.5,6
"129","ALB_06_MD_B","ALB_06","ALB","ME","Core",44.30061,70.83641,589,"MD_B","Maryland","B",2,57,4,2,14,16,26,10
"130","ALB_06_MD_C","ALB_06","ALB","ME","Core",44.30061,70.83641,589,"MD_C","Maryland","C",4,28,2,4,14,22.5,36,13.5
"131","ALB_06_MD_D","ALB_06","ALB","ME","Core",44.30061,70.83641,589,"MD_D","Maryland","D",6,63,5,6,7,21,30,9
"132","ALB_06_MD_E","ALB_06","ALB","ME","Core",44.30061,70.83641,589,"MD_E","Maryland","E",3,69,5,3,13,5,19,14
"133","ALB_06_NC_A","ALB_06","ALB","ME","Core",44.30061,70.83641,589,"NC_A","North_Carolina","A",2,28,2,2,14,13,30,17
"134","ALB_06_NC_B","ALB_06","ALB","ME","Core",44.30061,70.83641,589,"NC_B","North_Carolina","B",4,28,2,4,14,22,31,9
"135","ALB_06_NC_C","ALB_06","ALB","ME","Core",44.30061,70.83641,589,"NC_C","North_Carolina","C",6,63,5,6,7,20,35.5,15.5
"136","ALB_06_NC_D","ALB_06","ALB","ME","Core",44.30061,70.83641,589,"NC_D","North_Carolina","D",4,41,3,4,13,19.5,32,12.5
"137","ALB_06_NC_E","ALB_06","ALB","ME","Core",44.30061,70.83641,589,"NC_E","North_Carolina","E",3,69,5,3,13,13,27,14
"138","ALB_06_VT_A","ALB_06","ALB","ME","Core",44.30061,70.83641,589,"VT_A","Vermont","A",2,8,1,2,8,24,24.5,0.5
"139","ALB_06_VT_B","ALB_06","ALB","ME","Core",44.30061,70.83641,589,"VT_B","Vermont","B",4,43,3,4,13,23,28,5
"140","ALB_06_VT_C","ALB_06","ALB","ME","Core",44.30061,70.83641,589,"VT_C","Vermont","C",3,69,5,3,13,21.5,36,14.5
