plant_ID,Family,Population,Location,Region,Latitude,Longitude,Elevation,Garden,Bed,BedRow,BedCol,Rack,RackRow,RackCol,BudSet
ALB_03_MD_B,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Maryland,B,2,5,1,2,5,204
ALB_03_MD_C,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Maryland,C,6,14,1,6,14,201
ALB_03_MD_D,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Maryland,D,5,52,4,5,10,202
ALB_03_MD_E,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Maryland,E,3,57,5,3,1,203
ALB_05_VT_E,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Vermont,E,2,10,1,2,10,222
ALB_05_MD_B,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Maryland,B,5,40,3,5,12,209
ALB_05_MD_C,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Maryland,C,6,61,5,6,5,245
ALB_05_MD_D,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Maryland,D,3,14,1,3,14,202
ALB_05_MD_E,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Maryland,E,6,31,3,6,3,203
ALB_05_NC_E,ALB_05,ALB,ME,Core,44.30182,70.83729,573,North_Carolina,E,6,45,4,6,3,198
ALB_05_NC_A,ALB_05,ALB,ME,Core,44.30182,70.83729,573,North_Carolina,A,5,40,3,5,12,195
ALB_05_NC_B,ALB_05,ALB,ME,Core,44.30182,70.83729,573,North_Carolina,B,6,61,5,6,5,196
ALB_05_VT_B,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Vermont,B,4,13,1,4,13,271
ALB_05_VT_A,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Vermont,A,5,57,5,5,1,236
ALB_05_VT_D,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Vermont,D,5,40,3,5,12,271
ALB_05_MD_A,ALB_05,ALB,ME,Core,44.30182,70.83729,573,Maryland,A,4,58,5,4,2,199
ALB_05_NC_D,ALB_05,ALB,ME,Core,44.30182,70.83729,573,North_Carolina,D,4,58,5,4,2,197
ALB_05_NC_C,ALB_05,ALB,ME,Core,44.30182,70.83729,573,North_Carolina,C,3,14,1,3,14,202
ALB_06_VT_B,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Vermont,B,4,41,3,4,13,256
ALB_06_VT_A,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Vermont,A,2,8,1,2,8,215
ALB_06_VT_E,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Vermont,E,4,42,3,4,14,197
ALB_06_VT_D,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Vermont,D,2,56,4,2,14,236
ALB_06_MD_A,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Maryland,A,4,27,2,4,13,197
ALB_06_NC_A,ALB_06,ALB,ME,Core,44.30061,70.83641,589,North_Carolina,A,2,28,2,2,14,206
ALB_06_NC_B,ALB_06,ALB,ME,Core,44.30061,70.83641,589,North_Carolina,B,4,28,2,4,14,196
ALB_06_NC_C,ALB_06,ALB,ME,Core,44.30061,70.83641,589,North_Carolina,C,6,63,5,6,7,196
ALB_06_NC_D,ALB_06,ALB,ME,Core,44.30061,70.83641,589,North_Carolina,D,4,41,3,4,13,197
ALB_06_MD_B,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Maryland,B,2,56,4,2,14,199
ALB_06_MD_C,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Maryland,C,4,28,2,4,14,201
ALB_06_MD_D,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Maryland,D,6,63,5,6,7,202
ALB_06_MD_E,ALB_06,ALB,ME,Core,44.30061,70.83641,589,Maryland,E,3,69,5,3,13,203
ALB_06_NC_E,ALB_06,ALB,ME,Core,44.30061,70.83641,589,North_Carolina,E,3,69,5,3,13,197
APP_01_MD_A,APP_01,APP,VT,Core,44.20933,72.9295,743,Maryland,A,6,37,3,6,9,237
APP_01_NC_A,APP_01,APP,VT,Core,44.20933,72.9295,743,North_Carolina,A,5,47,4,5,5,195
APP_01_NC_C,APP_01,APP,VT,Core,44.20933,72.9295,743,North_Carolina,C,5,12,1,5,12,196
APP_01_NC_E,APP_01,APP,VT,Core,44.20933,72.9295,743,North_Carolina,E,6,9,1,6,9,221
APP_01_VT_B,APP_01,APP,VT,Core,44.20933,72.9295,743,Vermont,B,6,51,4,6,9,222
APP_01_VT_A,APP_01,APP,VT,Core,44.20933,72.9295,743,Vermont,A,3,59,5,3,3,236
APP_01_VT_E,APP_01,APP,VT,Core,44.20933,72.9295,743,Vermont,E,6,44,4,6,2,197
APP_01_VT_C,APP_01,APP,VT,Core,44.20933,72.9295,743,Vermont,C,6,9,1,6,9,236
APP_01_VT_D,APP_01,APP,VT,Core,44.20933,72.9295,743,Vermont,D,5,19,2,5,5,271
APP_01_MD_B,APP_01,APP,VT,Core,44.20933,72.9295,743,Maryland,B,5,19,2,5,5,199
APP_01_MD_C,APP_01,APP,VT,Core,44.20933,72.9295,743,Maryland,C,6,44,4,6,2,202
APP_01_MD_D,APP_01,APP,VT,Core,44.20933,72.9295,743,Maryland,D,5,12,1,5,12,202
APP_01_MD_E,APP_01,APP,VT,Core,44.20933,72.9295,743,Maryland,E,6,9,1,6,9,207
APP_02_MD_B,APP_02,APP,VT,Core,44.21172,72.92999,780,Maryland,B,5,41,3,5,13,204
APP_02_MD_C,APP_02,APP,VT,Core,44.21172,72.92999,780,Maryland,C,4,56,4,4,14,202
APP_02_MD_D,APP_02,APP,VT,Core,44.21172,72.92999,780,Maryland,D,3,21,2,3,7,217
APP_02_MD_E,APP_02,APP,VT,Core,44.21172,72.92999,780,Maryland,E,2,41,3,2,13,228
APP_02_NC_D,APP_02,APP,VT,Core,44.21172,72.92999,780,North_Carolina,D,5,61,5,5,5,202
APP_02_NC_E,APP_02,APP,VT,Core,44.21172,72.92999,780,North_Carolina,E,2,55,4,2,13,198
APP_02_VT_D,APP_02,APP,VT,Core,44.21172,72.92999,780,Vermont,D,5,41,3,5,13,244
