plant_ID,Family,Population,Location,Region,Latitude,Longitude,Elevation,Garden,Bed,BedRow,BedCol,Rack,RackRow,RackCol,BudBreak,cGDD,mBed,pPC1,pPC2,gPC1,gPC2,pEXT,pDD_0,gEXT,gDD_0
ALB_03_VT_A,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Vermont,A,5,24,2,5,10,146,591.2,Vermont_A,1.315944379,-1.515593296,-3.44541897,-5.80837561,34.3,960,39.25,531.5
ALB_03_NC_B,ALB_03,ALB,ME,Core,44.30359,70.84096,523,North_Carolina,B,6,14,1,6,14,111,684.95,North_Carolina_B,1.315944379,-1.515593296,-9.853610589,-5.010164336,34.3,960,37.75,53.5
ALB_03_MD_B,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Maryland,B,2,5,1,2,5,135,642.5,Maryland_B,1.315944379,-1.515593296,-4.791044403,-3.537747468,34.3,960,36.4,282.5
ALB_03_NC_C,ALB_03,ALB,ME,Core,44.30359,70.84096,523,North_Carolina,C,5,38,3,5,10,111,684.95,North_Carolina_C,1.315944379,-1.515593296,-9.853610589,-5.010164336,34.3,960,37.75,53.5
ALB_03_MD_E,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Maryland,E,3,57,5,3,1,138,662.4,Maryland_E,1.315944379,-1.515593296,-4.791044403,-3.537747468,34.3,960,36.4,282.5
ALB_03_NC_D,ALB_03,ALB,ME,Core,44.30359,70.84096,523,North_Carolina,D,5,67,5,5,11,111,684.95,North_Carolina_D,1.315944379,-1.515593296,-9.853610589,-5.010164336,34.3,960,37.75,53.5
ALB_03_VT_E,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Vermont,E,2,57,5,2,1,141,554.55,Vermont_E,1.315944379,-1.515593296,-3.44541897,-5.80837561,34.3,960,39.25,531.5
ALB_03_VT_B,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Vermont,B,3,4,1,3,4,146,591.2,Vermont_B,1.315944379,-1.515593296,-3.44541897,-5.80837561,34.3,960,39.25,531.5
ALB_03_MD_A,ALB_03,ALB,ME,Core,44.30359,70.84096,523,Maryland,A,5,67,5,5,11,137,657.5,Maryland_A,1.315944379,-1.515593296,-4.791044403,-3.537747468,34.3,960,36.4,282.5
ALB_03_NC_A,ALB_03,ALB,ME,Core,44.30359,70.84096,523,North_Carolina,A,6,66,5,6,10,104,626.35,North_Carolina_A,1.315944379,-1.515593296,-9.853610589,-5.010164336,34.3,960,37.75,53.5
